1999,,,,,,,,,,,,,,,,
 , 總計,465004,240727,224277,219024,121024,98000,209562,107974,101588,12586,6595,5991,23832,5134,18698
 , 未滿15,99695,51969,47726,99689,51968,47721,3,0,3,2,1,1,1,0,1
 , 15-19,40158,20537,19621,39582,20444,19138,555,90,465,15,3,12,6,0,6
 , 20-24,41380,21185,20195,35831,19741,16090,5110,1310,3800,415,134,281,24,0,24
 , 25-29,38378,19994,18384,20783,13024,7759,16517,6550,9967,1013,414,599,65,6,59
 , 30-34,38310,20573,17737,9693,6556,3137,26710,13153,13557,1708,831,877,199,33,166
 , 35-39,38375,20281,18094,4975,3349,1626,30514,15673,14841,2412,1197,1215,474,62,412
 , 40-44,34541,17866,16675,2700,1774,926,28579,14761,13818,2432,1220,1212,830,111,719
 , 45-49,29421,14928,14493,1618,979,639,24865,12857,12008,1751,951,800,1187,141,1046
 , 50-54,18716,9475,9241,782,475,307,15844,8271,7573,893,563,330,1197,166,1031
 , 55-59,20493,10283,10210,613,434,179,17237,9107,8130,625,422,203,2018,320,1698
 , 60-64,19570,9932,9638,566,446,120,15913,8685,7228,411,263,148,2680,538,2142
 , 65-69,16967,8858,8109,567,472,95,12610,7379,5231,335,210,125,3455,797,2658
 , 70-74,13435,7457,5978,706,627,79,8577,5619,2958,299,206,93,3853,1005,2848
 , 75-79,8551,4312,4239,525,439,86,4328,2879,1449,168,114,54,3530,880,2650
 , 80-84,4369,2013,2356,239,193,46,1569,1155,414,74,46,28,2487,619,1868
 , 85-89,2016,864,1152,121,84,37,528,408,120,28,16,12,1339,356,983
 , 90-94,527,171,356,25,14,11,87,66,21,5,4,1,410,87,323
 , 95-99,85,18,67,6,3,3,10,6,4,0,0,0,69,9,60
 ,100,17,11,6,3,2,1,6,5,1,0,0,0,8,4,4
2000,,,,,,,,,,,,,,,,
 , 總計,465186,240691,224495,217085,119784,97301,210186,108613,101573,13555,7099,6456,24360,5195,19165
 , 未滿15,98164,51270,46894,98160,51269,46891,1,0,1,2,1,1,1,0,1
 , 15-19,38646,19719,18927,38139,19637,18502,481,78,403,21,4,17,5,0,5
 , 20-24,41674,21427,20247,36359,19962,16397,4889,1331,3558,404,133,271,22,1,21
 , 25-29,37401,19389,18012,20692,12849,7843,15538,6089,9449,1110,446,664,61,5,56
 , 30-34,37946,20379,17567,9842,6626,3216,26146,12859,13287,1791,867,924,167,27,140
 , 35-39,38103,20196,17907,5129,3384,1745,30019,15510,14509,2498,1237,1261,457,65,392
